模块,编号,用例名称,前置条件/步骤要点,步骤,预期结果,优先级,测试结果,测试人,测试日期,实际结果,缺陷编号,备注
通用保存,SAV-10,自动保存关,关闭自动保存,完成对话不点保存,不自动新增,P1,未测,,,,
通用保存,SAV-11,切换会话再保存,会话 A 已存；打开会话 B,保存 B,列表为两条；标题/内容分别为 A、B，不串台,P0,未测,,,,
通用保存,SAV-12,刷新页面后再存,对话页 F5,再保存,仍能识别会话并保存,P1,未测,,,,
豆包,DB-01,API/官方路径保存,,完成多轮后手动保存,提示来自官方接口或成功；内容完整,P0,未测,,,,
豆包,DB-02,自动保存,,开自动保存，发一轮等结束,自动入库,P1,未测,,,,
豆包,DB-03,文件/卡片类回答,,若有生成文件类内容,详情不为 CSS/JSON 垃圾；可为文件卡片+原文,P1,未测,,,,
豆包,DB-04,平台筛选,,列表点「豆包」,仅豆包记录,P1,未测,,,,
通义千问,QW-01,多轮原文保存,,≥3 轮后保存,顺序正确；不丢轮次；不过度截断,P0,未测,,,,
通义千问,QW-02,表格/加粗,,含 md 表格与加粗,详情渲染正常,P1,未测,,,,
通义千问,QW-03,思考过程展示,,含思考类外壳的回答,详情可剥离思考外壳（展示层）；存储策略符合产品约定,P1,未测,,,,
通义千问,QW-04,志愿报告/CSS 泄漏,,若触发报告类卡片,详情不刷屏 CSS；可用文件卡片,P1,未测,,,,
通义千问,QW-05,自动保存,,开自动保存完成对话,自动更新,P1,未测,,,,
DeepSeek,DS-01,官方 API 保存,,登录后多轮保存,成功；来源提示可为 API,P0,未测,,,,
DeepSeek,DS-02,角色顺序,,多轮 user/assistant,角色不错乱,P0,未测,,,,
DeepSeek,DS-03,自动保存,,开自动保存,结束后入库,P1,未测,,,,
DeepSeek,DS-04,未登录,,未登录点保存,明确失败提示,P1,未测,,,,
腾讯元宝,YB-01,单会话保存,,打开具体对话（尽量带会话 ID）后保存,成功；标题接近首问或会话标题,P0,未测,,,,
腾讯元宝,YB-02,多会话不串台,,先后打开 2～3 个不同内容会话并分别保存/自动同步,列表标题与内容各自对应，不得全部显示第一条标题,P0,未测,,,,
腾讯元宝,YB-03,Agent 首页无 ID,,停在 /chat/智能体ID 且尚无会话,保存应提示未识别会话或等待具体对话,P1,未测,,,,
腾讯元宝,YB-04,标记清洗,,含 @mark_underline / [citation:n] 等,详情展示已清洗；存储完整或按约定清洗,P1,未测,,,,
腾讯元宝,YB-05,自动保存监视,,开自动保存，完成一轮,流结束后自动保存,P1,未测,,,,
腾讯元宝,YB-06,控制台无 404 刷屏,,保存过程看 DevTools Network/Console,不应对废弃 /api/conversation/* 狂打 404,P2,未测,,,,
Kimi,KM-01,手动保存,,多轮后保存,成功；平台为 Kimi,P0,未测,,,,
Kimi,KM-02,多会话隔离,,两个会话分别保存,不串标题/内容,P0,未测,,,,
Kimi,KM-03,自动保存,,开自动保存,能入库或明确不支持时有说明,P1,未测,,,,
Kimi,KM-04,长文,,长回答保存,全文可展开查看,P1,未测,,,,
列表与筛选,LST-01,全部 Tab,≥2 平台各有记录,点「全部」,显示全部,P0,未测,,,,
列表与筛选,LST-02,平台 Tab,同上,依次点 5 平台 Tab,过滤正确；空态友好,P0,未测,,,,
列表与筛选,LST-03,条数展示,有 N 条,查看「共 N 条」类文案,与实际一致（筛选后可为当前条数）,P1,未测,,,,
列表与筛选,LST-04,点击进详情,有记录,点一条,进入详情，标题/平台/时间正确,P0,未测,,,,
列表与筛选,LST-05,返回列表,在详情,点返回,回到列表，滚动/筛选状态合理,P1,未测,,,,
列表与筛选,LST-06,列表摘要,有长对话,看列表项预览,有标题或摘要，不整页刷爆,P2,未测,,,,
搜索,SCH-01,按标题搜,已知标题关键词,输入搜索,命中对应项,P0,未测,,,,
搜索,SCH-02,无结果,输入不存在词,搜索,空态，不报错,P1,未测,,,,
搜索,SCH-03,清空搜索,有搜索结果,清空输入,恢复完整列表,P1,未测,,,,
搜索,SCH-04,平台+搜索组合,某平台 Tab + 关键词,同时筛选,结果同时满足,P2,未测,,,,
文件夹与收藏,FLD-01,新建文件夹,侧栏列表,点 + 新建并命名,文件夹出现,P0,未测,,,,
文件夹与收藏,FLD-02,对话移入文件夹,有对话+文件夹,详情中选择文件夹,对话归属更新；按文件夹筛选可见,P0,未测,,,,
文件夹与收藏,FLD-03,删除文件夹,文件夹内有对话,删除文件夹,文件夹消失；对话变为未分类，对话本身不丢,P0,未测,,,,
文件夹与收藏,FLD-04,收藏,详情,点星标,星标状态切换并持久,P1,未测,,,,
文件夹与收藏,FLD-05,自动分类,若开启自动分类,保存含关键词对话,按规则进入对应文件夹（若已实现）,P2,未测,,,,
详情页展示,DET-01,角色区分,任意已存对话,打开详情,用户 / AI 区块区分清晰,P0,未测,,,,
详情页展示,DET-02,三行折叠,消息超过约 3 行,默认查看,CSS 三行截断；有「展开」按钮,P0,未测,,,,
详情页展示,DET-03,展开/收起,同上,点展开再收起,展开见全文；收起回到三行；不改存储,P0,未测,,,,
详情页展示,DET-04,短消息无按钮,仅一两行,打开详情,不显示展开按钮,P1,未测,,,,
详情页展示,DET-05,五平台详情一致,五平台各一条长消息,分别打开,均具备折叠+展开行为,P0,未测,,,,
详情页展示,DET-06,滚动,超长对话,详情区滚动,可滚到底；布局不撑破侧栏,P1,未测,,,,
详情页展示,DET-07,自动保存时详情刷新,停留在该对话详情且自动保存更新,等待自动保存,详情内容更新且尽量保持阅读位置,P2,未测,,,,
复制删除导出,ACT-01,复制对话,详情页,使用复制能力（若有）,剪贴板为对话文本,P1,未测,,,,
复制删除导出,ACT-02,删除对话,列表/详情,删除并确认,列表移除；不可恢复（符合提示）,P0,未测,,,,
复制删除导出,ACT-03,取消删除,删除确认框,取消,对话仍在,P1,未测,,,,
复制删除导出,ACT-04,底部导出,列表有数据,点「导出」（若为当前筛选导出）,成功下载或提示成功,P1,未测,,,,
JSON备份导入导出,BAK-01,导出 JSON,有 ≥3 条对话含文件夹,设置 → 导出 JSON 备份,得到 .json 文件,P0,未测,,,,
JSON备份导入导出,BAK-02,合并导入,另有备份；本机已有部分重叠,合并导入,条数合理增加；同 ID 保留较新,P0,未测,,,,
JSON备份导入导出,BAK-03,替换导入,有备份,替换导入并确认,本地被备份覆盖,P0,未测,,,,
JSON备份导入导出,BAK-04,取消替换,—,替换确认时取消,数据不变,P1,未测,,,,
JSON备份导入导出,BAK-05,坏 JSON,选损坏文件,导入,提示格式错误，不损坏原数据,P1,未测,,,,
JSON备份导入导出,BAK-06,跨机迁移,电脑 A 导出；电脑 B 新装扩展,B 合并或替换导入,B 可见与 A 一致的对话内容,P0,未测,,,,
JSON备份导入导出,BAK-07,导出含全文,含长文对话,检查 JSON 内 messages.content,无「已截断」类存储砍内容,P0,未测,,,,
设置,SET-01,自动保存开关,—,开关切换后刷新侧栏,状态保持,P0,未测,,,,
设置,SET-02,自动分类开关,—,切换,状态保持,P1,未测,,,,
设置,SET-03,深色模式默认,新装或无旧主题设置,打开设置,深色默认勾选；UI 为深色,P0,未测,,,,
设置,SET-04,切换浅色,—,关闭深色,立即变浅色并持久,P1,未测,,,,
设置,SET-05,存储模式,有 A/B 方案,切换 limited / unlimited,说明与用量展示正确,P1,未测,,,,
设置,SET-06,存储用量,有数据,查看用量,有已用空间提示；高占用有建议,P2,未测,,,,
稳定性与异常,STB-01,扩展重载后 AI 页,,重载扩展不刷新 AI 页就保存,提示刷新页面或等价友好提示,P0,未测,,,,
稳定性与异常,STB-02,侧栏开关反复,,多次开关侧栏,无卡死、列表仍正常,P1,未测,,,,
稳定性与异常,STB-03,快速连点保存,,连续点击保存,不产生明显脏数据风暴；有防抖或合并,P2,未测,,,,
稳定性与异常,STB-04,网络断开,,断网后保存（依赖接口的平台）,明确失败提示，不白屏,P1,未测,,,,
稳定性与异常,STB-05,超大库,,导入/积累较多对话（如 200+）,列表可打开；操作可接受延迟,P2,未测,,,,
稳定性与异常,STB-06,Console 无持续报错,,正常保存流程,无循环异常、无扩展 context invalidated 未处理,P1,未测,,,,
隐私与安全,PRI-01,数据本地,,保存后看扩展说明/网络,对话内容不发往自建未知服务器（当前无云同步）,P0,未测,,,,
隐私与安全,PRI-02,导出文件本地,,导出 JSON,仅本机下载，无自动上传,P0,未测,,,,
